date,food,medicine,transport,utilities,personal,total_expense,avg7_total
2025-01-08,202,101,142,434,328,1207,1296.2857142857142
2025-01-09,221,61,98,530,165,1075,1289.2857142857142
2025-01-10,314,88,171,345,174,1092,1227.4285714285713
2025-01-11,430,179,137,438,202,1386,1197.0
2025-01-12,187,180,262,275,291,1195,1210.4285714285713
2025-01-13,472,162,169,208,351,1362,1221.857142857143
2025-01-14,199,150,297,273,325,1244,1210.4285714285713
2025-01-15,459,162,196,452,393,1662,1223.0
2025-01-16,251,130,141,429,197,1148,1288.0
2025-01-17,230,162,102,206,385,1085,1298.4285714285713
2025-01-18,249,51,206,373,348,1227,1297.4285714285713
2025-01-19,408,179,216,340,265,1408,1274.7142857142858
2025-01-20,357,103,219,367,129,1175,1305.142857142857
2025-01-21,443,136,208,369,346,1502,1278.4285714285713
2025-01-22,393,178,137,592,205,1505,1315.2857142857142
2025-01-23,485,196,201,482,150,1514,1292.857142857143
2025-01-24,291,175,80,321,180,1047,1345.142857142857
2025-01-25,376,179,113,393,232,1293,1339.7142857142858
2025-01-26,260,102,175,204,384,1125,1349.142857142857
2025-01-27,413,117,205,228,237,1200,1308.7142857142858
2025-01-28,121,172,197,364,283,1137,1312.2857142857142
2025-01-29,352,194,127,538,372,1583,1260.142857142857
2025-01-30,335,87,168,335,168,1093,1271.2857142857142
2025-01-31,444,73,196,564,133,1410,1211.142857142857
2025-02-01,148,118,208,520,361,1355,1263.0
2025-02-02,158,165,95,541,152,1111,1271.857142857143
2025-02-03,269,147,268,344,304,1332,1269.857142857143
2025-02-04,287,188,271,526,225,1497,1288.7142857142858
2025-02-05,370,193,270,416,334,1583,1340.142857142857
2025-02-06,289,146,148,500,142,1225,1340.142857142857
2025-02-07,274,173,101,331,339,1218,1359.0
2025-02-08,150,119,172,491,210,1142,1331.5714285714287
2025-02-09,463,142,274,269,348,1496,1301.142857142857
2025-02-10,154,52,155,451,250,1062,1356.142857142857
2025-02-11,343,197,233,474,282,1529,1317.5714285714287
2025-02-12,419,196,223,563,194,1595,1322.142857142857
2025-02-13,230,139,258,381,107,1115,1323.857142857143
2025-02-14,406,196,165,366,283,1416,1308.142857142857
2025-02-15,234,197,264,290,380,1365,1336.4285714285713
2025-02-16,120,145,108,401,294,1068,1368.2857142857142
2025-02-17,428,101,285,545,294,1653,1307.142857142857
2025-02-18,266,177,299,218,254,1214,1391.5714285714287
